Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2022-10-07,12:00 PM,2:00 PM,San Jose Sharks,1,Nashville Predators,4,Regulation
2022-10-08,12:00 PM,2:00 PM,Nashville Predators,3,San Jose Sharks,2,Regulation
2022-10-11,5:30 PM,7:30 PM,Tampa Bay Lightning,1,New York Rangers,3,Regulation
2022-10-11,8:00 PM,10:00 PM,Vegas Golden Knights,4,Los Angeles Kings,3,Regulation
2022-10-12,5:00 PM,7:00 PM,Boston Bruins,5,Washington Capitals,2,Regulation
2022-10-12,5:00 PM,7:00 PM,Columbus Blue Jackets,1,Carolina Hurricanes,4,Regulation
2022-10-12,5:00 PM,7:00 PM,Toronto Maple Leafs,3,Montreal Canadiens,4,Regulation
2022-10-12,7:30 PM,9:30 PM,Chicago Blackhawks,2,Colorado Avalanche,5,Regulation
2022-10-12,8:00 PM,10:00 PM,Seattle Kraken,4,Anaheim Ducks,5,OT
2022-10-12,8:00 PM,10:00 PM,Vancouver Canucks,3,Edmonton Oilers,5,Regulation
2022-10-13,5:00 PM,7:00 PM,Arizona Coyotes,2,Pittsburgh Penguins,6,Regulation
2022-10-13,5:00 PM,7:00 PM,New Jersey Devils,2,Philadelphia Flyers,5,Regulation
2022-10-13,5:00 PM,7:00 PM,Ottawa Senators,1,Buffalo Sabres,4,Regulation
2022-10-13,5:30 PM,7:30 PM,Florida Panthers,3,New York Islanders,1,Regulation
2022-10-13,5:30 PM,7:30 PM,Washington Capitals,2,Toronto Maple Leafs,3,Regulation
2022-10-13,6:00 PM,8:00 PM,New York Rangers,7,Minnesota Wild,3,Regulation
2022-10-13,6:30 PM,8:30 PM,Dallas Stars,4,Nashville Predators,1,Regulation
2022-10-13,7:30 PM,9:30 PM,Colorado Avalanche,3,Calgary Flames,5,Regulation
2022-10-13,8:00 PM,10:00 PM,Chicago Blackhawks,0,Vegas Golden Knights,1,Regulation
2022-10-13,8:30 PM,10:30 PM,Seattle Kraken,4,Los Angeles Kings,1,Regulation
2022-10-14,5:00 PM,7:00 PM,Tampa Bay Lightning,5,Columbus Blue Jackets,2,Regulation
2022-10-14,5:00 PM,7:00 PM,Montreal Canadiens,0,Detroit Red Wings,3,Regulation
2022-10-14,6:00 PM,8:00 PM,New York Rangers,1,Winnipeg Jets,4,Regulation
2022-10-14,8:30 PM,10:30 PM,Carolina Hurricanes,2,San Jose Sharks,1,Regulation
2022-10-15,11:00 AM,1:00 PM,Florida Panthers,4,Buffalo Sabres,3,Regulation
2022-10-15,2:00 PM,4:00 PM,Vancouver Canucks,2,Philadelphia Flyers,3,Regulation
2022-10-15,5:00 PM,7:00 PM,Arizona Coyotes,3,Boston Bruins,6,Regulation
2022-10-15,5:00 PM,7:00 PM,Detroit Red Wings,5,New Jersey Devils,2,Regulation
2022-10-15,5:00 PM,7:00 PM,Montreal Canadiens,1,Washington Capitals,3,Regulation
2022-10-15,5:00 PM,7:00 PM,Ottawa Senators,2,Toronto Maple Leafs,3,Regulation
2022-10-15,5:00 PM,7:00 PM,Tampa Bay Lightning,2,Pittsburgh Penguins,6,Regulation
2022-10-15,5:30 PM,7:30 PM,Anaheim Ducks,1,New York Islanders,7,Regulation
2022-10-15,6:00 PM,8:00 PM,Columbus Blue Jackets,2,St. Louis Blues,5,Regulation
2022-10-15,6:00 PM,8:00 PM,Los Angeles Kings,7,Minnesota Wild,6,Regulation
2022-10-15,6:00 PM,8:00 PM,Nashville Predators,1,Dallas Stars,5,Regulation
2022-10-15,8:00 PM,10:00 PM,Calgary Flames,4,Edmonton Oilers,3,Regulation
2022-10-15,8:00 PM,10:00 PM,Vegas Golden Knights,5,Seattle Kraken,2,Regulation
2022-10-15,8:00 PM,10:00 PM,Chicago Blackhawks,5,San Jose Sharks,2,Regulation
2022-10-17,5:00 PM,7:00 PM,Anaheim Ducks,4,New York Rangers,6,Regulation
2022-10-17,5:00 PM,7:00 PM,Arizona Coyotes,4,Toronto Maple Leafs,2,Regulation
2022-10-17,5:00 PM,7:00 PM,Florida Panthers,3,Boston Bruins,5,Regulation
2022-10-17,5:00 PM,7:00 PM,Pittsburgh Penguins,2,Montreal Canadiens,3,OT
2022-10-17,5:00 PM,7:00 PM,Vancouver Canucks,4,Washington Capitals,6,Regulation
2022-10-17,5:00 PM,7:00 PM,Los Angeles Kings,5,Detroit Red Wings,4,OT
2022-10-17,6:00 PM,8:00 PM,Colorado Avalanche,6,Minnesota Wild,3,Regulation
2022-10-17,6:30 PM,8:30 PM,Winnipeg Jets,1,Dallas Stars,4,Regulation
2022-10-17,8:00 PM,10:00 PM,Carolina Hurricanes,5,Seattle Kraken,1,Regulation
2022-10-18,5:00 PM,7:00 PM,Anaheim Ducks,2,New Jersey Devils,4,Regulation
2022-10-18,5:00 PM,7:00 PM,Boston Bruins,5,Ottawa Senators,7,Regulation
2022-10-18,5:00 PM,7:00 PM,Vancouver Canucks,3,Columbus Blue Jackets,4,OT
2022-10-18,5:00 PM,7:00 PM,Philadelphia Flyers,3,Tampa Bay Lightning,2,Regulation
2022-10-18,5:30 PM,7:30 PM,San Jose Sharks,2,New York Islanders,5,Regulation
2022-10-18,7:00 PM,9:00 PM,Buffalo Sabres,4,Edmonton Oilers,2,Regulation
2022-10-18,7:00 PM,9:00 PM,Vegas Golden Knights,2,Calgary Flames,3,Regulation
2022-10-18,7:30 PM,9:30 PM,Los Angeles Kings,4,Nashville Predators,3,SO
2022-10-19,5:30 PM,7:30 PM,Philadelphia Flyers,3,Florida Panthers,4,Regulation
2022-10-19,6:00 PM,8:00 PM,Winnipeg Jets,4,Colorado Avalanche,3,OT
2022-10-19,8:00 PM,10:00 PM,St. Louis Blues,4,Seattle Kraken,3,OT
2022-10-20,5:00 PM,7:00 PM,Anaheim Ducks,1,Boston Bruins,2,SO
2022-10-20,5:00 PM,7:00 PM,Arizona Coyotes,2,Montreal Canadiens,6,Regulation
2022-10-20,5:00 PM,7:00 PM,Dallas Stars,2,Toronto Maple Leafs,3,OT
2022-10-20,5:00 PM,7:00 PM,Los Angeles Kings,1,Pittsburgh Penguins,6,Regulation
2022-10-20,5:00 PM,7:00 PM,Nashville Predators,3,Columbus Blue Jackets,5,Regulation
2022-10-20,5:00 PM,7:00 PM,San Jose Sharks,3,New York Rangers,2,OT
