Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2023-10-10,3:30 PM,5:30 PM,Nashville Predators,3,Tampa Bay Lightning,5,Regulation
2023-10-10,6:00 PM,8:00 PM,Chicago Blackhawks,4,Pittsburgh Penguins,2,Regulation
2023-10-10,8:30 PM,10:30 PM,Seattle Kraken,1,Vegas Golden Knights,4,Regulation
2023-10-11,5:00 PM,7:00 PM,Ottawa Senators,3,Carolina Hurricanes,5,Regulation
2023-10-11,5:00 PM,7:00 PM,Montreal Canadiens,5,Toronto Maple Leafs,6,SO
2023-10-11,5:30 PM,7:30 PM,Chicago Blackhawks,1,Boston Bruins,3,Regulation
2023-10-11,8:00 PM,10:00 PM,Winnipeg Jets,3,Calgary Flames,5,Regulation
2023-10-11,8:00 PM,10:00 PM,Colorado Avalanche,5,Los Angeles Kings,2,Regulation
2023-10-11,8:00 PM,10:00 PM,Edmonton Oilers,1,Vancouver Canucks,8,Regulation
2023-10-12,5:00 PM,7:00 PM,New York Rangers,5,Buffalo Sabres,1,Regulation
2023-10-12,5:00 PM,7:00 PM,Philadelphia Flyers,4,Columbus Blue Jackets,2,Regulation
2023-10-12,5:30 PM,7:30 PM,Detroit Red Wings,3,New Jersey Devils,4,Regulation
2023-10-12,6:00 PM,8:00 PM,St. Louis Blues,1,Dallas Stars,2,SO
2023-10-12,6:00 PM,8:00 PM,Florida Panthers,0,Minnesota Wild,2,Regulation
2023-10-12,6:00 PM,8:00 PM,Seattle Kraken,0,Nashville Predators,3,Regulation
2023-10-12,8:30 PM,10:30 PM,Vegas Golden Knights,4,San Jose Sharks,1,Regulation
2023-10-13,5:00 PM,7:00 PM,Arizona Coyotes,4,New Jersey Devils,3,SO
2023-10-13,5:30 PM,7:30 PM,Pittsburgh Penguins,4,Washington Capitals,0,Regulation
2023-10-14,11:00 AM,1:00 PM,Philadelphia Flyers,2,Ottawa Senators,5,Regulation
2023-10-14,2:00 PM,4:00 PM,Florida Panthers,4,Winnipeg Jets,6,Regulation
2023-10-14,5:00 PM,7:00 PM,Nashville Predators,2,Boston Bruins,3,Regulation
2023-10-14,5:00 PM,7:00 PM,New York Rangers,3,Columbus Blue Jackets,5,Regulation
2023-10-14,5:00 PM,7:00 PM,Tampa Bay Lightning,4,Detroit Red Wings,6,Regulation
2023-10-14,5:00 PM,7:00 PM,Chicago Blackhawks,2,Montreal Canadiens,3,Regulation
2023-10-14,5:00 PM,7:00 PM,Calgary Flames,2,Pittsburgh Penguins,5,Regulation
2023-10-14,5:00 PM,7:00 PM,Minnesota Wild,4,Toronto Maple Leafs,7,Regulation
2023-10-14,5:30 PM,7:30 PM,Buffalo Sabres,2,New York Islanders,3,Regulation
2023-10-14,6:00 PM,8:00 PM,Seattle Kraken,1,St. Louis Blues,2,SO
2023-10-14,8:00 PM,10:00 PM,Vancouver Canucks,4,Edmonton Oilers,3,Regulation
2023-10-14,8:00 PM,10:00 PM,Colorado Avalanche,2,San Jose Sharks,1,SO
2023-10-14,8:00 PM,10:00 PM,Anaheim Ducks,1,Vegas Golden Knights,4,Regulation
2023-10-14,8:30 PM,10:30 PM,Carolina Hurricanes,6,Los Angeles Kings,5,SO
2023-10-15,5:00 PM,7:00 PM,Tampa Bay Lightning,2,Ottawa Senators,5,Regulation
2023-10-15,6:30 PM,8:30 PM,Carolina Hurricanes,3,Anaheim Ducks,6,Regulation
2023-10-16,5:00 PM,7:00 PM,Detroit Red Wings,4,Columbus Blue Jackets,0,Regulation
2023-10-16,5:00 PM,7:00 PM,Florida Panthers,4,New Jersey Devils,3,Regulation
2023-10-16,5:00 PM,7:00 PM,Arizona Coyotes,1,New York Rangers,2,Regulation
2023-10-16,5:00 PM,7:00 PM,Chicago Blackhawks,4,Toronto Maple Leafs,1,Regulation
2023-10-16,5:00 PM,7:00 PM,Calgary Flames,2,Washington Capitals,3,SO
2023-10-17,4:00 PM,6:00 PM,Vancouver Canucks,0,Philadelphia Flyers,2,Regulation
2023-10-17,5:00 PM,7:00 PM,Minnesota Wild,5,Montreal Canadiens,2,Regulation
2023-10-17,5:30 PM,7:30 PM,Tampa Bay Lightning,2,Buffalo Sabres,3,OT
2023-10-17,5:30 PM,7:30 PM,Arizona Coyotes,0,New York Islanders,1,Regulation
2023-10-17,6:00 PM,8:00 PM,Edmonton Oilers,6,Nashville Predators,1,Regulation
2023-10-17,6:00 PM,8:00 PM,Los Angeles Kings,5,Winnipeg Jets,1,Regulation
2023-10-17,8:00 PM,10:00 PM,Colorado Avalanche,4,Seattle Kraken,1,Regulation
2023-10-17,8:30 PM,10:30 PM,Carolina Hurricanes,6,San Jose Sharks,3,Regulation
2023-10-17,8:30 PM,10:30 PM,Dallas Stars,2,Vegas Golden Knights,3,SO
2023-10-18,5:00 PM,7:00 PM,Washington Capitals,1,Ottawa Senators,6,Regulation
2023-10-18,5:30 PM,7:30 PM,Pittsburgh Penguins,3,Detroit Red Wings,6,Regulation
2023-10-19,5:00 PM,7:00 PM,Calgary Flames,4,Buffalo Sabres,3,Regulation
2023-10-19,5:00 PM,7:00 PM,Toronto Maple Leafs,1,Florida Panthers,3,Regulation
2023-10-19,5:00 PM,7:00 PM,Nashville Predators,4,New York Rangers,1,Regulation
2023-10-19,5:00 PM,7:00 PM,Vancouver Canucks,3,Tampa Bay Lightning,4,Regulation
