Rk,Team,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Vancouver Canucks,33-11-5,0-2,3-3,18-4-2,15-7-3,15-5-2,18-6-3,8-2-0,7-3-2,9-2-3,9-4-0,10-5-5,15-5-0,6-2-1,9-6-0,8-2-2,10-1-2,0-0-0,0-0-0,0-0-0
2,Boston Bruins,31-9-9,2-1,4-8,16-4-3,15-5-6,19-7-4,12-2-5,12-3-2,7-4-2,8-2-3,4-0-2,8-4-9,15-4-0,8-0-1,7-4-2,7-3-3,9-2-3,0-0-0,0-0-0,0-0-0
3,Colorado Avalanche,32-14-3,2-1,2-2,20-5-0,12-9-3,12-6-0,20-8-3,6-4-0,6-2-0,7-5-2,13-3-1,8-4-3,19-9-0,6-2-0,9-4-1,8-5-2,9-3-0,0-0-0,0-0-0,0-0-0
4,Florida Panthers,31-14-4,1-1,4-3,14-7-2,17-7-2,15-3-3,16-11-1,6-1-3,9-2-0,7-6-0,9-5-1,12-2-4,12-6-0,4-3-1,10-4-1,8-5-0,9-2-2,0-0-0,0-0-0,0-0-0
5,Dallas Stars,30-13-6,2-1,7-5,16-8-2,14-5-4,12-6-1,18-7-5,4-5-0,8-1-1,11-4-2,7-3-3,16-5-6,11-7-0,5-1-1,8-4-2,9-4-1,8-4-2,0-0-0,0-0-0,0-0-0
6,Winnipeg Jets,30-12-5,0-1,3-4,16-7-2,14-5-3,13-3-4,17-9-1,9-2-3,4-1-1,12-3-1,5-6-0,8-3-5,12-3-0,4-3-2,8-5-0,10-1-2,8-3-1,0-0-0,0-0-0,0-0-0
7,Vegas Golden Knights,29-15-6,4-1,3-5,18-5-2,11-10-4,11-8-2,18-7-4,4-5-0,7-3-2,9-2-2,9-5-2,12-1-6,15-10-0,9-0-1,6-5-3,7-5-1,7-5-1,0-0-0,0-0-0,0-0-0
8,New York Rangers,30-16-3,1-2,4-1,15-7-0,15-9-3,16-8-1,14-8-2,9-4-1,7-4-0,5-3-1,9-5-1,12-4-3,14-11-0,7-2-0,9-2-1,9-5-0,5-7-2,0-0-0,0-0-0,0-0-0
9,Carolina Hurricanes,28-15-5,1-3,4-2,15-5-4,13-10-1,19-6-3,9-9-2,10-3-0,9-3-3,2-3-2,7-6-0,11-5-5,12-8-0,6-4-0,7-4-1,7-5-3,8-2-1,0-0-0,0-0-0,0-0-0
10,Edmonton Oilers,29-15-1,2-0,3-1,16-6-1,13-9-0,12-8-0,17-7-1,4-4-0,8-4-0,7-3-1,10-4-0,8-3-1,16-9-0,2-5-1,7-7-0,9-3-0,11-0-0,0-0-0,0-0-0,0-0-0
11,Tampa Bay Lightning,27-18-5,1-0,4-5,17-5-3,10-13-2,12-9-3,15-9-2,5-5-3,7-4-0,7-7-1,8-2-1,8-2-5,12-9-0,4-2-3,6-7-2,8-6-0,9-3-0,0-0-0,0-0-0,0-0-0
12,Detroit Red Wings,26-18-6,2-0,4-6,14-8-5,12-10-1,16-12-3,10-6-3,9-5-3,7-7-0,4-5-0,6-1-3,10-8-6,10-6-0,6-3-1,6-4-2,5-9-1,9-2-2,0-0-0,0-0-0,0-0-0
13,Toronto Maple Leafs,25-14-8,4-1,5-7,11-9-2,14-5-6,10-9-6,15-5-2,6-6-2,4-3-4,6-2-2,9-3-0,12-2-8,11-5-0,5-3-1,7-3-2,5-4-4,8-4-1,0-0-0,0-0-0,0-0-0
14,Philadelphia Flyers,25-19-6,4-2,4-4,11-12-2,14-7-4,11-11-3,14-8-3,3-6-1,8-5-2,7-2-2,7-6-1,10-5-6,9-11-0,4-4-1,7-6-1,8-2-3,6-7-1,0-0-0,0-0-0,0-0-0
15,Los Angeles Kings,23-15-10,1-5,1-5,8-9-6,15-6-4,9-8-6,14-7-4,5-4-3,4-4-3,8-5-1,6-2-3,6-5-10,15-6-0,5-2-2,8-2-1,7-4-2,3-7-5,0-0-0,0-0-0,0-0-0
16,Nashville Predators,26-23-2,2-0,4-2,13-13-0,13-10-2,12-6-2,14-17-0,4-4-2,8-2-0,9-5-0,5-12-0,13-6-2,8-11-0,4-5-0,7-6-0,9-5-1,6-7-1,0-0-0,0-0-0,0-0-0
17,St. Louis Blues,26-21-2,2-1,5-1,15-9-1,11-12-1,10-8-1,16-13-1,5-3-1,5-5-0,7-9-1,9-4-0,12-2-2,8-13-0,3-3-1,9-6-0,6-8-0,8-4-1,0-0-0,0-0-0,0-0-0
18,Seattle Kraken,21-19-10,1-4,3-6,11-9-4,10-10-6,11-8-3,10-11-7,5-4-2,6-4-1,4-5-4,6-6-3,9-3-10,10-11-0,3-5-2,5-5-4,6-4-3,7-5-1,0-0-0,0-0-0,0-0-0
19,New York Islanders,20-17-12,1-3,5-9,12-6-7,8-11-5,13-8-7,7-9-5,6-4-3,7-4-4,3-5-2,4-4-3,13-3-12,4-8-0,4-2-2,5-5-4,8-3-3,3-7-3,0-0-0,0-0-0,0-0-0
